original_index,ocsvm_score,ocsvm_prediction,severity_unified_original,severity_unified_binary
396,0.30328688596273246,normal,-,0
397,0.4133492422165368,normal,-,0
398,0.5436630095814277,normal,-,0
399,0.5072061811874935,normal,-,0
400,0.5263891168300798,normal,-,0
401,0.49807685297533055,normal,-,0
402,0.189958532583681,normal,-,0
403,0.5183735009637278,normal,-,0
404,-0.12348843381420238,abnormal,-,0
405,0.6925652293018825,normal,info,0
406,0.4830525835493642,normal,info,0
407,1.1288826383817394,normal,information,0
408,0.26563991527202724,normal,information,0
409,-1.2307897396368617e-05,abnormal,information,0
410,0.00020679674123336156,normal,info,0
411,-0.0440435559644321,abnormal,information,0
412,0.08222591081212727,normal,information,0
413,0.6381775750948542,normal,information,0
414,0.5828393249590835,normal,information,0
415,0.08222591081212727,normal,information,0
416,0.4309224318012088,normal,information,0
417,0.8183918357824709,normal,info,0
418,0.7050918376449857,normal,info,0
419,0.40999629678146654,normal,information,0
420,1.0961992442010136,normal,info,0
421,0.9124534188761135,normal,info,0
422,0.4398862118879254,normal,information,0
423,0.9666779551151876,normal,information,0
424,-0.034096733194664,abnormal,Error,1
425,-1.457050336938421,abnormal,info,0
426,-2.5702942868851872,abnormal,info,0
427,-2.7055604447951396,abnormal,info,0
428,0.11917779625850144,normal,Notice,0
429,0.7837552804991219,normal,info,0
430,-1.233131163580481e-05,abnormal,information,0
431,0.16900866161730832,normal,information,0
432,0.00019455233506882053,normal,information,0
433,0.03531144100793426,normal,information,0
434,0.16900866161730832,normal,information,0
435,0.2464281287209129,normal,information,0
436,1.5387649260889944,normal,info,0
437,1.2155206003427228,normal,info,0
438,0.31239196094974275,normal,information,0
439,0.9411434051964154,normal,info,0
440,0.5017543075294952,normal,info,0
441,-0.013176692079300167,abnormal,info,0
442,0.31138541329651304,normal,info,0
443,1.1288826383817394,normal,information,0
444,0.42774926048626405,normal,information,0
445,0.3197785057601781,normal,info,0
446,0.25634505680736197,normal,info,0
447,0.9666779551151876,normal,information,0
448,-0.00028057467743280995,abnormal,info,0
449,0.04656619190794409,normal,info,0
450,0.24666044974907386,normal,info,0
451,0.2383127229903792,normal,info,0
452,1.1288826383817394,normal,information,0
453,0.00020679674123336156,normal,info,0
454,0.00011424776710633466,normal,information,0
455,-0.1690724728999431,abnormal,information,0
456,-0.01626880124272212,abnormal,information,0
457,-0.17528057630127414,abnormal,information,0
458,0.8511313653239405,normal,info,0
459,0.4891678308209144,normal,info,0
460,0.42774926048626405,normal,information,0
461,0.42420845351749925,normal,-,0
462,0.2915040342078363,normal,-,0
463,0.3581967601035174,normal,-,0
464,0.3581967601035174,normal,-,0
465,0.13615942312710416,normal,-,0
466,0.2185527968250014,normal,-,0
